rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,lat,lon,alt,utm_easting,utm_northing,zone,letter,raw_data
1613521624283648224,,200,,1624,0,'',1.03974333333,-1.872505,36.3,625449.59124,114945.405533,30,"""N""","""$GPGGA,002704.000,4220.3846,N,07105.3503,W,1,07,1.3,36.3,M,-33.8,M,,0000*52\r\n"""
1613521625281057023,,201,,1625,0,'',1.039735,-1.872495,36.3,625450.704354,114944.484664,30,"""N""","""$GPGGA,002705.000,4220.3841,N,07105.3497,W,1,06,1.5,36.3,M,-33.8,M,,0000*5F\r\n"""
1613521626281733555,,202,,1626,0,'',1.03972333333,-1.87249,36.3,625451.261207,114943.19509,30,"""N""","""$GPGGA,002706.000,4220.3834,N,07105.3494,W,1,06,1.5,36.3,M,-33.8,M,,0000*5D\r\n"""
1613521627281262669,,203,,1627,0,'',1.03971666667,-1.87248166667,36.3,625452.18879,114942.458408,30,"""N""","""$GPGGA,002707.000,4220.3830,N,07105.3489,W,1,05,2.4,36.3,M,-33.8,M,,0000*55\r\n"""
1613521628280386980,,204,,1628,0,'',1.03971166667,-1.87247666667,36.3,625452.74538,114941.905847,30,"""N""","""$GPGGA,002708.000,4220.3827,N,07105.3486,W,1,05,2.4,36.3,M,-33.8,M,,0000*53\r\n"""
1613521629279314282,,205,,1629,0,'',1.03970166667,-1.87247,36.3,625453.487631,114940.800593,30,"""N""","""$GPGGA,002709.000,4220.3821,N,07105.3482,W,1,05,2.4,36.3,M,-33.8,M,,0000*50\r\n"""
1613521630280279541,,206,,1630,0,'',1.03969666667,-1.87246166667,36.4,625454.415149,114940.248164,30,"""N""","""$GPGGA,002710.000,4220.3818,N,07105.3477,W,1,05,2.4,36.4,M,-33.8,M,,0000*5F\r\n"""
1613521631281143560,,207,,1631,0,'',1.03969,-1.87245833333,36.4,625454.78634,114939.511284,30,"""N""","""$GPGGA,002711.000,4220.3814,N,07105.3475,W,1,05,2.4,36.4,M,-33.8,M,,0000*50\r\n"""
1613521632281254243,,208,,1632,0,'',1.039685,-1.87245166667,36.4,625455.528394,114938.958789,30,"""N""","""$GPGGA,002712.000,4220.3811,N,07105.3471,W,1,05,2.4,36.4,M,-33.8,M,,0000*52\r\n"""
1613521633282131478,,209,,1633,0,'',1.03968,-1.87244666667,36.4,625456.084983,114938.406228,30,"""N""","""$GPGGA,002713.000,4220.3808,N,07105.3468,W,1,05,2.4,36.4,M,-33.8,M,,0000*53\r\n"""
1613521634280019570,,210,,1634,0,'',1.03967333333,-1.87243666667,36.4,625457.198031,114937.669612,30,"""N""","""$GPGGA,002714.000,4220.3804,N,07105.3462,W,1,05,2.4,36.4,M,-33.8,M,,0000*52\r\n"""
1613521635281430798,,211,,1635,0,'',1.039665,-1.872435,36.4,625457.383824,114936.748412,30,"""N""","""$GPGGA,002715.000,4220.3799,N,07105.3461,W,1,05,2.4,36.4,M,-33.8,M,,0000*5B\r\n"""
1613521636282405044,,212,,1636,0,'',1.03965833333,-1.87242666667,36.4,625458.311408,114936.01173,30,"""N""","""$GPGGA,002716.000,4220.3795,N,07105.3456,W,1,05,2.4,36.4,M,-33.8,M,,0000*50\r\n"""
1613521637282005103,,213,,1637,0,'',1.03964833333,-1.87242666667,36.4,625458.311803,114934.906211,30,"""N""","""$GPGGA,002717.000,4220.3789,N,07105.3456,W,1,05,2.4,36.4,M,-33.8,M,,0000*5C\r\n"""
1613521638281985360,,214,,1638,0,'',1.03963833333,-1.87242833333,36.4,625458.126733,114933.800625,30,"""N""","""$GPGGA,002718.000,4220.3783,N,07105.3457,W,1,05,2.4,36.4,M,-33.8,M,,0000*58\r\n"""
